id,name,gender,DOB,MaritalStatus,CreditCardType
1,Damaris,Female,1973-02-18,false,visa-electron
2,Barbe,Female,1969-04-10,true,americanexpress
3,Belia,Female,1960-04-16,false,maestro
4,Leoline,Female,1995-01-19,true,bankcard
5,Valentine,Female,1992-04-16,false,
6,Rosanne,Female,1985-01-05,true,bankcard
7,Shalna,Female,1956-11-01,false,jcb
8,Mordy,Male,1990-03-27,true,china-unionpay
9,Tristan,Male,1998-10-05,true,
10,Alphonso,Male,1992-08-10,false,mastercard
11,Hirsch,Male,1973-02-13,false,
12,Kirstyn,Female,1989-06-28,false,bankcard
13,Benson,Male,1959-10-19,true,switch
14,Florry,Female,1993-11-11,true,diners-club-international
15,Jenine,Female,1957-02-16,false,diners-club-enroute
16,Hortense,Female,1993-12-17,false,jcb
17,Zulema,Female,1990-09-27,false,jcb
18,Leoline,Female,1990-02-02,false,visa-electron
19,Bayard,Male,1997-01-11,false,jcb
20,Joanne,Female,1996-02-01,false,maestro
21,Marlee,Female,1994-11-28,false,
22,Mitchell,Male,1993-03-09,false,maestro
23,Jefferey,Male,1999-09-19,false,jcb
24,Jolee,Female,1951-04-14,false,jcb
25,Selma,Female,1958-08-14,false,mastercard
26,Pavlov,Male,1971-12-24,true,jcb
27,Willi,Male,1999-09-29,false,diners-club-enroute
28,Vi,Female,1988-09-25,false,laser
29,Teodoro,Male,1969-03-02,false,jcb
30,Loralyn,Female,1953-11-27,false,
31,Carlen,Female,1964-08-01,true,jcb
32,Walden,Male,1968-10-27,false,jcb
33,Phillie,Female,1976-09-07,false,diners-club-enroute
34,Dicky,Male,1956-06-15,true,
35,Antonietta,Female,1986-05-01,false,americanexpress
36,Natasha,Female,1952-01-15,true,diners-club-enroute
37,Tadeas,Male,1973-10-12,false,jcb
38,Vyky,Female,1986-08-03,false,maestro
39,Estevan,Male,1966-08-22,false,jcb
40,Andrey,Male,1952-11-18,false,diners-club-enroute
41,Leonidas,Male,1972-01-28,true,maestro
42,Blinnie,Female,1957-08-22,false,
43,Randolf,Male,1951-04-23,false,bankcard
44,Maurene,Female,1975-08-04,true,jcb
45,Sky,Male,1991-06-08,true,laser
46,Kaspar,Male,1981-12-06,false,
47,Noll,Male,1957-01-26,true,mastercard
48,Haley,Male,1980-11-10,true,diners-club-carte-blanche
